txn_id,date,amount,counterparty,payment_method,reference_number,status
L00120,2026-07-05,7536.16,PALL-LAD,WALLET,pay_UhZCr93NfeIm1s,captured
L00121,2026-07-05,1991.8,PALL-LAD,NETBANKING,pay_cTAmUuQbf5goZH,captured
L00126,2026-07-05,4148.77,SARAN-SHA,UPI,pay_ArYYbbahiU9oXK,captured
L00145,2026-07-05,4788.73,"BARAD, TATA AND KAMDAR",CARD,pay_TizP32MgvTmecP,captured
L00276,2026-07-05,12251.71,SOMAN-KULKARNI,WALLET,pay_Oa0DKJpATnDpGo,captured
L00300,2026-07-05,4079.84,DARA-WALI,CARD,pay_LE7hXr4whDJNza,captured
L00318,2026-07-05,2618.74,GUPTA LLC,IMPS,pay_3TOwdtOwYQHRn3,captured
L00320,2026-07-05,4312.5,GOPAL-BAIL,IMPS,pay_G5CXq6ZHlM9rmf,captured
L00323,2026-07-05,2456.04,"SANI, GABA AND BHATTACHARYYA",WALLET,pay_LTir2iCZtw0Yt5,captured
L00324,2026-07-05,24365.76,"SANI, GABA AND BHATTACHARYYA",IMPS,pay_qBtHYJb7TRIVll,captured
L00325,2026-07-05,8221.18,"SANI, GABA AND BHATTACHARYYA",CARD,pay_0AKSNjQfgPn1GE,captured
L00356,2026-07-05,1541.12,RAGHAVAN PLC,CARD,pay_HZ2CK8OUyllYID,captured
L00385,2026-07-05,-7807.34,"IYENGAR, MINHAS AND CHANA",UPI,pay_Nh7Nzr7HLAVAnJ-RFD,refunded
L00096,2026-07-06,16105.82,BRAHMBHATT-PUROHIT,WALLET,pay_abUFKKvxAx0KpU,captured
L00107,2026-07-06,1567.93,CHAWLA AND SONS,NETBANKING,pay_eaAY2iRXFaaW27,captured
L00108,2026-07-06,1143.59,HANDA-DUA,UPI,pay_YkyzlpDyuxpHaS,captured
L00228,2026-07-06,19949.39,"AGRAWAL, KADE AND MODY",CARD,pay_aHwnWhVDhEr2vj,captured
L00229,2026-07-06,19949.39,"AGRAWAL, KADE AND MODY",CARD,pay_aHwnWhVDhEr2vj,captured
L00282,2026-07-06,5825.52,VISWANATHAN LLC,NETBANKING,pay_vX1gZsXGICjcgA,captured
L00301,2026-07-06,4079.84,DARA-WALI,CARD,pay_LE7hXr4whDJNza,captured
L00335,2026-07-06,1922.42,DEVAN-KORPAL,NEFT,pay_ZKqbls0foeRz0j,captured
L00411,2026-07-06,3387.37,RANGANATHAN-DEVAN,NEFT,pay_OnxRwv0P6UlnAr,captured
L00423,2026-07-06,4054.57,NARAYAN AND SONS,NEFT,pay_PZ5g5FCygh8O4I,captured
L00454,2026-07-06,12493.39,RAMESH-ZACHARIAH,NETBANKING,pay_J0rq6dPGY2pgrA,captured
L00046,2026-07-07,4427.15,MURTY INC,CARD,pay_knuftJw1AIbULK,captured
L00137,2026-07-07,12555.21,"RATTA, SALVI AND MAGAR",IMPS,pay_Qn1E0xFkgagVle,captured
L00138,2026-07-07,12555.21,"RATTA, SALVI AND MAGAR",IMPS,pay_Qn1E0xFkgagVle,captured
L00150,2026-07-07,8781.41,GADE LLC,CARD,pay_MP35tIwCvXeLns,captured
L00161,2026-07-07,27542.17,"SHANKAR, KUMER AND CHACKO",UPI,pay_g7plHnL5rwL4jO,captured
L00259,2026-07-07,8818.33,UPADHYAY GROUP,NETBANKING,pay_HR5AVlKxr8tOwh,captured
L00361,2026-07-07,11021.86,MUNSHI-SANT,CARD,pay_diNPEXKouUfGFY,captured
L00391,2026-07-07,12106.46,VALA-WAGLE,WALLET,pay_iHjNwNEZKqPNP0,captured
L00437,2026-07-07,12327.58,"PINGLE, PALLA AND MADAN",IMPS,pay_HqCOEfAea4oSpN,captured
L00001,2026-07-08,39623.87,DEEP-BALAKRISHNAN,WALLET,pay_ITdef30Uu0pbdE,captured
L00023,2026-07-08,7340.99,"SHUKLA, SODHI AND KARNIK",NEFT,pay_BE7OZhHnnBia3K,captured
L00081,2026-07-08,8600.63,BARIA AND SONS,NETBANKING,pay_fndSjOf7r5jQX6,captured
L00269,2026-07-08,1316.55,"SHANKER, BHATTACHARYYA AND SHARMA",NEFT,pay_98vcXRXRUxHAAK,captured
L00351,2026-07-08,586.99,KARA-CHAND,NEFT,pay_YYWlZ7hy9ZbyUZ,captured
L00416,2026-07-08,1573.87,CONTRACTOR LLC,NETBANKING,pay_LSz7TvquAcVGOS,captured
L00457,2026-07-08,3988.22,"BAIL, BATH AND KANT",NEFT,pay_PuDMhOsOoV9LYJ,captured
L00084,2026-07-09,3695.94,"SARKAR, SARAF AND MUKHERJEE",IMPS,pay_65wJL5DYqYgmaC,captured
L00119,2026-07-09,12339.45,"BALAKRISHNAN, SHARMA AND KANNAN",NETBANKING,pay_ZY6dzamDLbYNNC,captured
L00172,2026-07-09,32053.27,"THAKUR, AGARWAL AND CHAUDHARI",WALLET,pay_lxN4L25BL0Fo9x,captured
L00227,2026-07-09,8805.68,BAKSHI AND SONS,UPI,pay_nZp0pNtcfkUudG,captured
L00307,2026-07-09,11877.96,"KUMAR, LALA AND NAIR",CARD,pay_e1u4qMYtXi77dF,captured
L00436,2026-07-09,4705.63,ARYA INC,NETBANKING,pay_PM9ROij54807Pf,captured
L00045,2026-07-10,5500.7,NAIDU LLC,CARD,pay_zgXkjeroazN2ah,captured
L00216,2026-07-10,28614.74,PARMAR-SHARMA,NEFT,pay_F6KVI19gcUB3vT,captured
L00226,2026-07-10,1904.58,BAKSHI AND SONS,IMPS,pay_J7VE760u1JOoSD,captured
L00382,2026-07-10,13227.23,GANESAN AND SONS,CARD,pay_FWVaLvqeWnp7Rd,captured
L00403,2026-07-10,2657.38,SEHGAL AND SONS,UPI,pay_MziMmbVwbkUA7w,captured
L00440,2026-07-10,46687.67,DUA-KHATRI,UPI,pay_9u5NyG95zgoUwG,captured
L00015,2026-07-11,9125.73,NAGI-MOHANTY,NETBANKING,pay_kVCGDKELeUFOV5,captured
L00028,2026-07-11,3612.8,MORE INC,WALLET,pay_LuZlClPWpV0tXN,captured
L00191,2026-07-11,10189.57,"DEVAN, MODY AND SINHA",UPI,pay_dfgYTlVqJ88F6W,captured
L00197,2026-07-11,6210.46,SONI-BAHRI,NEFT,pay_KuW6cUoyfkME2N,captured
L00214,2026-07-11,2339.64,"KAMDAR, OAK AND MANGAL",IMPS,pay_f1X5rLSB55m627,captured
L00232,2026-07-11,4407.29,MOHANTY-SARIN,CARD,pay_exmZVQov9czK0p,captured
L00394,2026-07-11,94857.06,"TANDON, MADAN AND SINGHAL",NETBANKING,pay_hxDNOVhoM8vJXj,captured
L00065,2026-07-12,1408.53,RATTAN-GALA,NETBANKING,pay_ArKX2evy0DK6T6,captured
L00092,2026-07-12,3615.86,DEVI-GODA,CARD,pay_1ajvLF0mVJBb6I,captured
L00097,2026-07-12,3310.98,GOLA LLC,CARD,pay_MQVEsIW0j04RWR,captured
L00133,2026-07-12,2465.92,KAUR-SARRAF,NEFT,pay_0bWu9eqjfoedyS,captured
L00178,2026-07-12,10925.55,SHARAF-GERA,NEFT,pay_GSbGGxUSrRJhlT,captured
L00198,2026-07-12,2665.73,CHEEMA-SINGHAL,UPI,pay_FPuT4ZCVwOSxse,captured
L00289,2026-07-12,54978.87,MAGAR LLC,CARD,pay_SXZ4PapaisAZxl,captured
L00434,2026-07-12,4350.3,PANDIT-AHLUWALIA,IMPS,pay_bNMpDZjeJiLHCO,captured
L00451,2026-07-12,4819.67,BADAMI-LALLA,CARD,pay_oNGfNTxqIjIfZw,captured
L00036,2026-07-13,416.77,PANDEY-KONDA,UPI,pay_ZXx8QjqLBYQlCr,captured
L00074,2026-07-13,1540.6,CHANDA AND SONS,WALLET,pay_QoGxri0ARehHs7,captured
L00086,2026-07-13,6811.03,DARA-SINGHAL,IMPS,pay_ACybhGomJAUytl,captured
L00218,2026-07-13,4998.63,"PANDYA, MAHAJAN AND BHATTI",NETBANKING,pay_WzvlyKNQ9bQIjL,captured
L00311,2026-07-13,6070.12,"NAYAK, RAO AND PILLAI",IMPS,pay_7O8fr4IXp2j1L7,captured
L00349,2026-07-13,5024.06,"KUNDA, BAL AND SEKHON",NETBANKING,pay_Qh0sEMJHr8lHaG,captured
L00352,2026-07-13,1818.56,DUBEY LLC,WALLET,pay_AxWUaDJZU6V8Mv,captured
L00424,2026-07-13,12387.61,"PALLA, AMBLE AND DEWAN",CARD,pay_oa11PwfJqF7r33,captured
L00020,2026-07-14,2745.16,MALL-CHAD,NETBANKING,pay_YMBa5T0bq09e4Q,captured
L00165,2026-07-14,7195.05,"RAU, DAS AND BADAL",NEFT,pay_M1P5AfeKuH2beJ,captured
L00173,2026-07-14,-32053.27,"THAKUR, AGARWAL AND CHAUDHARI",WALLET,pay_lxN4L25BL0Fo9x-RFD,refunded
L00180,2026-07-14,2011.03,"RAJU, OAK AND SAMI",IMPS,pay_RQaFshjWbUqQNT,captured
L00344,2026-07-14,8576.7,ANDRA LTD,NETBANKING,pay_vcAup4FCdtLHZc,captured
L00345,2026-07-14,8576.7,ANDRA LTD,NETBANKING,pay_vcAup4FCdtLHZc,captured
L00142,2026-07-15,31547.86,CHAUDHRY-BEHL,WALLET,pay_iRlWw6vK5h6uNB,captured
L00163,2026-07-15,2281.15,"BORAH, SWAMY AND GERA",NETBANKING,pay_i9KeHAQBqx8P1R,captured
L00164,2026-07-15,3284.87,"BASAK, SABHARWAL AND BERA",CARD,pay_wN07fsvohd0FOq,captured
L00168,2026-07-15,29187.31,"DUGAR, MANDA AND ROY",NEFT,pay_v9dufL44n5tRtp,captured
L00192,2026-07-15,13277.95,CHOUDHARY-PRABHAKAR,IMPS,pay_sZILgVKVPH645k,captured
L00204,2026-07-15,5229.62,CHANDA-KANDA,IMPS,pay_LGywUjvC6pyhkd,captured
L00292,2026-07-15,2463.06,CHANDER-KAR,NETBANKING,pay_ECmrLnBzRCeILH,captured
L00073,2026-07-16,4888.1,DEY-NAGAR,CARD,pay_VBSgrSrFAKK6Ox,captured
L00179,2026-07-16,4240.11,CHAWLA GROUP,CARD,pay_XmP1ihkBJQLqui,captured
L00189,2026-07-16,2269.44,MANNE-BEN,NEFT,pay_1ft4pEt6TFh5tt,captured
L00217,2026-07-16,6738.63,SAMRA-RAMAN,NETBANKING,pay_5eVXo6KroVpSHR,captured
L00271,2026-07-16,594.01,"SINGH, SUBRAMANIAM AND DEO",IMPS,pay_ajXja5YNXlwxe1,captured
L00275,2026-07-16,1099.62,RANA AND SONS,UPI,pay_LspC4j1fmBoA0Y,captured
L00293,2026-07-16,2463.06,CHANDER-KAR,NETBANKING,pay_ECmrLnBzRCeILH,captured
L00299,2026-07-16,18842.32,"KRISHNAN, SARNA AND VARUGHESE",UPI,pay_Rqh27eGMzXEXAJ,captured
L00310,2026-07-16,1045.41,RANDHAWA PLC,CARD,pay_5kjkrmu2TYqSxV,captured
L00314,2026-07-16,36148.6,"SANKAR, GADE AND SUNDARAM",NETBANKING,pay_a7Gecg2iSUnbBN,captured
L00357,2026-07-16,4163.19,DATTA-SURI,UPI,pay_SelkUuXIEjZNg0,captured
L00425,2026-07-16,-12387.61,"PALLA, AMBLE AND DEWAN",CARD,pay_oa11PwfJqF7r33-RFD,refunded
L00445,2026-07-16,1476.92,BAJWA-HAYRE,UPI,pay_iyBBaJLQFclFRq,captured
L00071,2026-07-17,2069.65,BHALLA-GOEL,IMPS,pay_a6cngKGQHElLxv,captured
L00093,2026-07-17,9662.6,"CHAKRABORTY, LOYAL AND MITTAL",UPI,pay_8eWTkIPT0A7o9I,captured
L00105,2026-07-17,14656.6,"SHAN, MAND AND RANA",NEFT,pay_RpOpRWm702biQO,captured
L00146,2026-07-17,1077.99,KARI-GARG,CARD,pay_0qvehi1GIlW03R,captured
L00147,2026-07-17,1077.99,KARI-GARG,CARD,pay_0qvehi1GIlW03R,captured
L00183,2026-07-17,6191.63,OZA LTD,IMPS,pay_jC21XDpIRnuCLs,captured
L00210,2026-07-17,11904.26,MUNSHI LLC,NETBANKING,pay_WYah8wXz8xmHID,captured
L00239,2026-07-17,1355.23,"KOSHY, BHAT AND DHAR",IMPS,pay_kZJbQ4JQ5gTk2q,captured
L00240,2026-07-17,1355.23,"KOSHY, BHAT AND DHAR",IMPS,pay_kZJbQ4JQ5gTk2q,captured
L00242,2026-07-17,2926.72,ISSAC PLC,IMPS,pay_L2xWYXbTYd4sNF,captured
L00248,2026-07-17,9552.84,D’ALIA LTD,CARD,pay_0gsiwXN8TNcVcE,captured
L00288,2026-07-17,1288.58,NATH INC,IMPS,pay_JhiRLr3TPPBh74,captured
L00308,2026-07-17,1897.33,"SAWHNEY, CHAND AND THAKKAR",NETBANKING,pay_cfTBV3cjXjezcj,captured
L00401,2026-07-17,7292.45,CHAKRABARTI PLC,WALLET,pay_SCSez5u7DjO8Y9,captured
L00452,2026-07-17,5208.37,ANDRA-MORAR,UPI,pay_8JCEUwjmT3A8Qr,captured
L00024,2026-07-18,1563.28,KAPUR-CHEEMA,IMPS,pay_9KSqV80SJcOoWW,captured
L00029,2026-07-18,14986.04,"KALITA, CHAUDHURI AND SAMPATH",NEFT,pay_Tl15pPqhVYvw89,captured
L00156,2026-07-18,10866.14,LOKE-DALAL,UPI,pay_w7lp6HDsko5ta0,captured
L00202,2026-07-18,14718.41,BAWA AND SONS,CARD,pay_A4jjBkZGV1ObqQ,captured
L00244,2026-07-18,2906.98,"MANGAT, MODI AND KOHLI",NEFT,pay_ibB8iaYeTqI2Z6,captured
L00252,2026-07-18,6575.07,BOSE LTD,NETBANKING,pay_6KbH2gkUBVWOCM,captured
L00277,2026-07-18,88265.61,"KEER, DANI AND JHAVERI",UPI,pay_TQfOT3NlDMh76Z,captured
L00372,2026-07-18,4267.57,GOKHALE AND SONS,CARD,pay_hvYIPjwHIWj1tg,captured
L00400,2026-07-18,24526.37,BANERJEE LLC,CARD,pay_XMzViIpAiCedst,captured
L00414,2026-07-18,13497.48,"NARANG, BUCH AND TRIPATHI",UPI,pay_Xx6YgfoFJ6O6GD,captured
L00426,2026-07-18,1284.77,SAXENA-BAHRI,NETBANKING,pay_C7jdn4uuegr8Ab,captured
L00427,2026-07-18,1284.77,SAXENA-BAHRI,NETBANKING,pay_C7jdn4uuegr8Ab,captured
L00435,2026-07-18,1482.22,"ROY, DYAL AND DIXIT",IMPS,pay_IEti6tBlPaGao0,captured
L00077,2026-07-19,5158.66,"TANDON, BAINS AND REGE",NEFT,pay_MlhIBinRJtZhTx,captured
L00111,2026-07-19,14876.1,GOUR GROUP,CARD,pay_0Z1FGkUYf8v0v0,captured
L00139,2026-07-19,4302.05,"MUNI, PATLA AND VASA",UPI,pay_kJPKteVAFdFxk4,captured
L00176,2026-07-19,1157.37,MADAN INC,UPI,pay_35ZygIeK1qO15j,captured
L00255,2026-07-19,965.11,BORA AND SONS,IMPS,pay_8qbPkz7wagex8T,captured
L00312,2026-07-19,6892.3,BASSI INC,NETBANKING,pay_SGGCZFMPRWmbAF,captured
L00340,2026-07-19,3388.32,"VARUGHESE, BHARDWAJ AND SETH",CARD,pay_BSafOArPot0tl8,captured
L00341,2026-07-19,3388.32,"VARUGHESE, BHARDWAJ AND SETH",CARD,pay_BSafOArPot0tl8,captured
L00373,2026-07-19,9780.12,DUBEY PLC,IMPS,pay_3AD4aGu8oydQDz,captured
L00412,2026-07-19,36075.54,"NAGY, PRADHAN AND ANAND",UPI,pay_aQMe809Ffuugx3,captured
L00421,2026-07-19,1321.62,RAM LTD,NETBANKING,pay_nZ3ABNkHNrT3N6,captured
L00458,2026-07-19,10187.45,MOHAN-CHACKO,NEFT,pay_OpiANnp22PiU6L,captured
L00041,2026-07-20,9607.73,WALI PLC,CARD,pay_IkDd6M2Tct89Z9,captured
L00042,2026-07-20,12751.57,"DOSHI, BAKSHI AND BAL",WALLET,pay_Yoib1ZvGB0l4pz,captured
L00079,2026-07-20,33744.86,WADHWA-BHANDARI,UPI,pay_o7TEK5gIG7OfGb,captured
L00094,2026-07-20,6905.86,BAJWA-BAJAJ,CARD,pay_RjqibcjzQtp68M,captured
L00095,2026-07-20,6905.86,BAJWA-BAJAJ,CARD,pay_RjqibcjzQtp68M,captured
L00116,2026-07-20,14602.42,DAR-ANNE,UPI,pay_fh6PbnFnwGGGRD,captured
L00140,2026-07-20,4304.05,"MUNI, PATLA AND VASA",UPI,pay_kJPKteVAQYkqOr,captured
L00170,2026-07-20,2450.15,SETTY LLC,NETBANKING,pay_6yrbuTdkuMKm64,captured
L00171,2026-07-20,2450.15,SETTY LLC,NETBANKING,pay_6yrbuTdkuMKm64,captured
L00199,2026-07-20,26061.97,"BHALLA, CHOUDHURY AND BAIL",NEFT,pay_TLjpPqkJHVP3K6,captured
L00305,2026-07-20,2491.03,"CHOUDHURY, LUTHRA AND SANDAL",WALLET,pay_f7Oc2yxD0a1oAZ,captured
L00390,2026-07-20,5597.54,KEER GROUP,NEFT,pay_yEyo6COHC1TW0t,captured
L00413,2026-07-20,36074.04,"NAGY, PRADHAN AND ANAND",UPI,pay_aQMe809FOq00pw,captured
L00456,2026-07-20,36151.54,"MAHARAJ, SAVANT AND PANDYA",IMPS,pay_MWN78paDIKOCCw,captured
L00047,2026-07-21,6494.25,SHARMA GROUP,WALLET,pay_VWKYAA7PPcZg96,captured
L00050,2026-07-21,1336.79,PANDEY INC,NETBANKING,pay_5hxbDZM7cP4JN6,captured
L00067,2026-07-21,1078.63,KANNAN-KANT,CARD,pay_IDweLokzYdUz4V,captured
L00072,2026-07-21,6982.51,CHACKO-SHARAF,IMPS,pay_SEBoKSO1cx4Ye2,captured
L00080,2026-07-21,25125.0,"SAWHNEY, UPADHYAY AND SHETH",IMPS,pay_hvxm3IV4NUUhXy,captured
L00117,2026-07-21,14603.92,DAR-ANNE,UPI,pay_fh6PbnFnlIgmDW,captured
L00124,2026-07-21,1266.37,SUBRAMANIAN-SURI,NEFT,pay_2w83lD2rsEbXJw,captured
L00186,2026-07-21,1261.29,CHAUDHRY-CHAWLA,IMPS,pay_5XVx8JTv5EGDkn,captured
L00237,2026-07-21,5590.48,KHURANA-DHAR,UPI,pay_SJtQDve1UgMSAs,captured
L00245,2026-07-21,2453.84,AMBLE INC,NETBANKING,pay_Q8rgT25xVwGy7q,captured
L00263,2026-07-21,2097.76,NARULA-MANDER,IMPS,pay_evXEJZ1aTghkzi,captured
L00302,2026-07-21,4881.97,MANNE LLC,IMPS,pay_bIykvRr39DvNzN,captured
L00321,2026-07-21,3716.61,LAD-BASAK,NEFT,pay_c44yECm2D1kKxH,captured
L00407,2026-07-21,38796.1,"BALAN, SANI AND KALLA",NETBANKING,pay_FTCXEiF7mTCifJ,captured
L00408,2026-07-21,1512.11,"BALAN, SANI AND KALLA",IMPS,pay_7fycc0jHRhfEJQ,captured
L00010,2026-07-22,20087.34,KHANNA LTD,NETBANKING,pay_Xng0rAlGGAACRH,captured
L00012,2026-07-22,25460.5,NAYAR-AGRAWAL,NETBANKING,pay_hViOICSonuGGBJ,captured
L00048,2026-07-22,6494.25,SHARMA GROUP,WALLET,pay_VWKYAA7PPcZg96,captured
L00076,2026-07-22,4448.9,AHLUWALIA LLC,WALLET,pay_z9qqyRa3KkMou1,captured
L00082,2026-07-22,8919.12,IYER-MORAR,NEFT,pay_yjyL72sAGNPJdJ,captured
L00102,2026-07-22,1665.15,"YADAV, BARAD AND KEER",CARD,pay_N9Jdjz7v0mDB7F,captured
L00112,2026-07-22,3920.02,GERA-NARASIMHAN,CARD,pay_g8VVhCe9eqQems,captured
L00115,2026-07-22,249.64,"ATWAL, SEN AND CHADA",NETBANKING,pay_LhYMhnoXg4Vapg,captured
L00169,2026-07-22,6331.38,SWAMY-RAMANATHAN,UPI,pay_HTATIbBfTaHzRU,captured
L00233,2026-07-22,32036.51,"SOLANKI, KUNDA AND MANDER",NETBANKING,pay_27s85GRDo4s5u0,captured
L00343,2026-07-22,10599.61,ZACHARIAH-SANE,NEFT,pay_1B6D5q7b4DiLd1,captured
L00406,2026-07-22,12361.1,"BALAN, SANI AND KALLA",NEFT,pay_lNfa8RxTLoFuXy,captured
L00409,2026-07-22,5178.66,"BALAN, SANI AND KALLA",NEFT,pay_NaIir7jUwvwzqq,captured
L00442,2026-07-22,1349.71,DASH LLC,IMPS,pay_1EblbwAaWpGwOc,captured
L00443,2026-07-22,1349.71,DASH LLC,IMPS,pay_1EblbwAaWpGwOc,captured
L00006,2026-07-23,9233.08,DUGAL PLC,NETBANKING,pay_UsgFReOgaDsGJn,captured
L00016,2026-07-23,4031.14,PADMANABHAN PLC,CARD,pay_6u15mG6SCC7USq,captured
L00018,2026-07-23,3471.04,SRIDHAR LLC,UPI,pay_vbZ8q1WsnRo1E0,captured
L00040,2026-07-23,1102.61,PRAKASH-MINHAS,CARD,pay_uiqB872wcLsTse,captured
L00068,2026-07-23,6641.28,TAK-CHAWLA,NETBANKING,pay_QJDqIvawz6yR9Z,captured
L00100,2026-07-23,1984.16,"MANI, AHLUWALIA AND BUTALA",IMPS,pay_BWdnpbrIFoO1xO,captured
L00118,2026-07-23,10317.5,"PAL, SAMPATH AND PALLA",NETBANKING,pay_tlbRIYEZ1q1efe,captured
L00136,2026-07-23,3184.15,"LAD, BALAN AND MUNI",UPI,pay_EwX0j8rNot81hr,captured
L00160,2026-07-23,4819.67,KHARE-JOHAL,NEFT,pay_EUrRMBWTDPtcE2,captured
L00346,2026-07-23,450.67,ROY PLC,NEFT,pay_1TWWg123PCzT4N,captured
L00398,2026-07-23,8731.99,DHINGRA-MISTRY,CARD,pay_HF7a9mmndDu3Lw,captured
L00399,2026-07-23,56815.21,DHINGRA-MISTRY,CARD,pay_Lf8zz8YsBJ3v40,captured
L00056,2026-07-24,18546.8,YOHANNAN PLC,WALLET,pay_aOZSFrKf2JP7vf,captured
L00069,2026-07-24,5883.88,VASA-KHARE,WALLET,pay_mCfGvLBU3JX6g9,captured
L00088,2026-07-24,9605.21,KRISHNA LLC,CARD,pay_a3DVVis81BmiKV,captured
L00223,2026-07-24,2246.76,VASA INC,NEFT,pay_Pod7JEohIHZaiX,captured
L00375,2026-07-24,2242.92,"PATHAK, SRIDHAR AND SAHNI",CARD,pay_2G9OgoOCOexouX,captured
L00377,2026-07-24,2376.05,DHILLON LLC,IMPS,pay_Bg00QnxrxXm8en,captured
L00383,2026-07-24,515.81,"CHAR, BASAK AND NAGI",CARD,pay_AdIoag8Qh9c8UC,captured
L00404,2026-07-24,8169.45,KALITA LLC,NEFT,pay_6uMeXilsiN1RMz,captured
L00030,2026-07-25,-14986.04,"KALITA, CHAUDHURI AND SAMPATH",NEFT,pay_Tl15pPqhVYvw89-RFD,refunded
