txn_id,date,amount,counterparty,payment_method,reference_number,status
L00146,2026-07-03,1485.13,"KHALSA, WAGLE AND MANI",WALLET,pay_hb9L8ExCInr5C4,captured
L00188,2026-07-03,1607.87,GOUR LLC,WALLET,pay_gZdItYy8MY56mO,captured
L00330,2026-07-03,26004.49,KAPUR LLC,NEFT,pay_1avARjZf4kHLkw,captured
L00366,2026-07-03,5037.16,KALITA-BAINS,CARD,pay_M30s9uPTjUHFQ3,captured
L00016,2026-07-04,13035.6,"GABA, PANDIT AND SETH",UPI,pay_4Nfp3bcex7x2tP,captured
L00060,2026-07-04,8308.77,MANI PLC,NEFT,pay_QDSYxNWr2NOKrv,captured
L00080,2026-07-04,20265.46,MORAR-TANDON,CARD,pay_UZQLl7aWtgMh92,captured
L00101,2026-07-04,15839.33,"SAINI, KUMER AND PANDYA",NEFT,pay_XJQrWoQ9dKXNwG,captured
L00102,2026-07-04,15839.33,"SAINI, KUMER AND PANDYA",NEFT,pay_XJQrWoQ9dKXNwG,captured
L00160,2026-07-04,7657.22,RAVEL LTD,WALLET,pay_bajcwaVGEYxKEU,captured
L00333,2026-07-04,2332.24,RANGANATHAN PLC,NETBANKING,pay_Bp9e7cvf3Fuvo4,captured
L00334,2026-07-04,1533.02,RANGANATHAN PLC,UPI,pay_BTMwHhfgWXFiGl,captured
L00335,2026-07-04,6190.17,RANGANATHAN PLC,NEFT,pay_ldIw4xBqGF2TR6,captured
L00394,2026-07-04,6444.08,MEMON LTD,CARD,pay_k0rT5JjJXcW7Fs,captured
L00013,2026-07-05,7775.96,SANGHVI-RAMAKRISHNAN,CARD,pay_FdcRA8pBa0sQtC,captured
L00017,2026-07-05,5859.42,PADMANABHAN-KUMAR,UPI,pay_vJ0JbcGbD51Hkk,captured
L00021,2026-07-05,15032.38,"BEDI, DUGAR AND SARKAR",CARD,pay_TNiUXgeaa1pvUS,captured
L00059,2026-07-05,4017.75,TRIVEDI INC,IMPS,pay_Pw6d2mjC1IAAYz,captured
L00161,2026-07-05,7657.22,RAVEL LTD,WALLET,pay_bajcwaVGEYxKEU,captured
L00198,2026-07-05,1911.54,"TELLA, SETHI AND CHANDRA",IMPS,pay_7SGEYee6L83S4r,captured
L00262,2026-07-05,3360.72,"MUTTI, CHANDRA AND BHATNAGAR",NEFT,pay_9ZiW5FG1EAbCkx,captured
L00302,2026-07-05,6178.6,"BAHRI, CHAND AND MALLICK",NEFT,pay_WpRAah72GebFn6,captured
L00390,2026-07-05,17518.48,DESAI-SHANKAR,CARD,pay_6IsXmPVG5JuD1c,captured
L00416,2026-07-05,1338.0,TIWARI INC,IMPS,pay_AmbXCI60ofg4zO,captured
L00022,2026-07-06,10814.7,RANA-NATARAJAN,IMPS,pay_ymcyQFun6rIMbs,captured
L00103,2026-07-06,5424.24,"CHAUDRY, GOKHALE AND KARA",CARD,pay_FWvcwDR5NmzroD,captured
L00104,2026-07-06,14898.9,SABHARWAL PLC,NEFT,pay_Eqlxn3Kl6PfZ01,captured
L00141,2026-07-06,3576.9,SAMA GROUP,CARD,pay_yxFb3MwLk2y3Jd,captured
L00165,2026-07-06,3312.73,"HANS, BHARDWAJ AND ZACHARIAH",NEFT,pay_8saBGwzEsz3B7s,captured
L00203,2026-07-06,6128.29,UPPAL GROUP,IMPS,pay_6J2sW3ht8F3sZ1,captured
L00240,2026-07-06,4986.87,BADAL INC,NETBANKING,pay_zsjDnE0Z5eSyfj,captured
L00258,2026-07-06,9998.46,RAU-LANKA,IMPS,pay_nK0wvg9DpVSYnB,captured
L00284,2026-07-06,19002.99,KUMER-ARORA,NEFT,pay_u08DaU4xXKCM5k,captured
L00301,2026-07-06,4230.19,"GOLLA, SUBRAMANIAN AND BOASE",UPI,pay_M006OfYI7mAaXo,captured
L00353,2026-07-06,51105.87,PANDYA LTD,NEFT,pay_VMlxvdotSx2GRL,captured
L00371,2026-07-06,1770.86,"RAJU, SHANKER AND AGATE",NEFT,pay_ATxmU0wmKSV4WJ,captured
L00429,2026-07-06,4164.44,KRISH GROUP,CARD,pay_CQPR521TjnU0rM,captured
L00019,2026-07-07,10376.68,TIWARI-SARAN,CARD,pay_V456N793Zr6iuP,captured
L00096,2026-07-07,6822.88,TANK-CHANDRA,IMPS,pay_ExlrlVqQ3z2SyG,captured
L00098,2026-07-07,2178.64,TANK-CHANDRA,IMPS,pay_elZbFGkcXZTAgD,captured
L00099,2026-07-07,11587.79,TANK-CHANDRA,UPI,pay_nVUEix8XW90aUk,captured
L00124,2026-07-07,2936.37,"BALAY, BASSI AND REDDY",IMPS,pay_2XPYQEGpvlsdS1,captured
L00224,2026-07-07,4051.69,WASON LTD,IMPS,pay_PFSrhnjn5jbDfL,captured
L00250,2026-07-07,14067.31,IYENGAR GROUP,NETBANKING,pay_YHVB0Fl6Vbp8kD,captured
L00266,2026-07-07,4031.99,RAJAN AND SONS,IMPS,pay_AeSHIwaJaQqSeL,captured
L00311,2026-07-07,9589.64,LALLA-MANI,CARD,pay_gzSerDpipAzRJY,captured
L00415,2026-07-07,880.0,"SHANKAR, KEER AND NARAYAN",CARD,pay_FmDRaTbMjiocL6,captured
L00426,2026-07-07,10147.15,LATA LLC,NETBANKING,pay_iluSZA5YyXywVN,captured
L00002,2026-07-08,2455.34,AGARWAL LLC,UPI,pay_SDaYyHhgT8sUhj,captured
L00026,2026-07-08,3932.49,"SARIN, LOKE AND NAGY",NEFT,pay_zNqd82DBjkbNoW,captured
L00031,2026-07-08,4545.68,"SINHA, DATTA AND PATIL",CARD,pay_RTzWaakJ538oxe,captured
L00097,2026-07-08,2635.88,TANK-CHANDRA,IMPS,pay_ZAQabnaNGQiCQU,captured
L00137,2026-07-08,1664.84,"UPPAL, MUKHERJEE AND NAGARAJAN",NEFT,pay_3QbCvpAMv2RX6I,captured
L00142,2026-07-08,1347.53,"PAREKH, KAR AND GUPTA",WALLET,pay_cdgggBtHDqVkkQ,captured
L00185,2026-07-08,8098.05,"CHOPRA, BARAL AND VARMA",CARD,pay_idVMZ7IpqRud04,captured
L00363,2026-07-08,3949.86,NAZARETH LLC,NETBANKING,pay_iACCvPoFZe6omW,captured
L00392,2026-07-08,15741.96,MANDAL INC,CARD,pay_T4NXfoMYvrlmh0,captured
L00403,2026-07-08,25391.81,KATA-SESHADRI,IMPS,pay_fS0GgKmpy0V89C,captured
L00411,2026-07-08,9168.19,SEKHON-NARAYANAN,CARD,pay_lJBMwfxDQi6O5g,captured
L00428,2026-07-08,13160.16,"MANE, DIXIT AND BHAGAT",IMPS,pay_mPfBhpIfBCkODm,captured
L00439,2026-07-08,7583.21,MANDA AND SONS,NETBANKING,pay_lkzY1dEuMwpe6I,captured
L00032,2026-07-09,3955.46,"SINHA, DATTA AND PATIL",NEFT,pay_SB4s3gG4IqrbKx,captured
L00033,2026-07-09,3832.79,"SINHA, DATTA AND PATIL",CARD,pay_BTkzoPMZRtYQAa,captured
L00071,2026-07-09,4727.79,"CHANA, TATA AND BORA",UPI,pay_VPAzLtDIVjAysp,captured
L00091,2026-07-09,5541.56,THAKKAR-AGRAWAL,UPI,pay_O9zzoJ0joWLh0i,captured
L00163,2026-07-09,5318.36,"PATLA, MODI AND MORAR",UPI,pay_4kOyytd99IKlHU,captured
L00204,2026-07-09,13513.98,BUMB LLC,NETBANKING,pay_FVM9JWS7EmYf2p,captured
L00205,2026-07-09,13513.98,BUMB LLC,NETBANKING,pay_FVM9JWS7EmYf2p,captured
L00235,2026-07-09,5423.58,"SHANKER, SHA AND AHUJA",CARD,pay_IiFcDeKmjjl3UR,captured
L00297,2026-07-09,3608.15,"KADAKIA, RAMA AND KRISHNAMURTHY",CARD,pay_SDepF4TAjp4ior,captured
L00307,2026-07-09,3003.42,LOKE LLC,UPI,pay_2RzSY0IvuvMDto,captured
L00309,2026-07-09,3776.47,"DHALIWAL, SINGH AND DUGAR",NEFT,pay_wKUJFZUggPnFpt,captured
L00323,2026-07-09,1914.28,"IYENGAR, MISTRY AND GANESH",NEFT,pay_nBCN6vpnvjNnRj,captured
L00004,2026-07-10,7377.95,TOOR-BAHRI,NEFT,pay_o3XvQfykP1670h,captured
L00107,2026-07-10,4085.5,TAILOR LLC,CARD,pay_f5hm4yveYZBsGV,captured
L00111,2026-07-10,6523.73,"APTE, GARA AND DHILLON",WALLET,pay_ZUXqakkNziTqSq,captured
L00145,2026-07-10,11954.55,"PRADHAN, KURIAN AND SURI",NEFT,pay_HqyGo9yqeySvF0,captured
L00173,2026-07-10,479.79,BHALLA-SHARMA,NETBANKING,pay_ELdaT5JvgSRs0W,captured
L00273,2026-07-10,13085.35,RAVEL PLC,CARD,pay_1gY7buFGGMHJsX,captured
L00276,2026-07-10,3102.37,"SANGHVI, KADAKIA AND PALLA",NEFT,pay_BJqmCyuEpSGRCO,captured
L00296,2026-07-10,5121.28,"REDDY, GREWAL AND OM",CARD,pay_BW6CPGC2yjoalL,captured
L00386,2026-07-10,8577.25,ZACHARIA-SANGHA,NEFT,pay_1oE83N6xsYlh8T,captured
L00388,2026-07-10,2822.48,YADAV LLC,UPI,pay_vOhS1tMqlZKjka,captured
L00445,2026-07-10,16030.8,SEM-PALLA,CARD,pay_yxsWHBGaYDDpvz,captured
L00018,2026-07-11,1867.64,"MUNI, BORAH AND NAIDU",NETBANKING,pay_ADGhLzfw0U4qOl,captured
L00029,2026-07-11,5583.3,OAK-SAINI,IMPS,pay_OvjQJVOWlaLVvN,captured
L00053,2026-07-11,7112.79,RAJA AND SONS,NEFT,pay_8URQsnsN6Dz0IE,captured
L00058,2026-07-11,8288.27,BARAD-BERA,UPI,pay_oHGpd92FUDnuIR,captured
L00092,2026-07-11,4554.25,"DAVE, BARAD AND RAJAN",NEFT,pay_oGJJR8Tfa9Qo1Y,captured
L00105,2026-07-11,12188.14,"PANCHAL, PATLA AND MUTTI",IMPS,pay_X4LCTCRSzV2PrP,captured
L00147,2026-07-11,2103.1,NATARAJAN GROUP,IMPS,pay_Ts0kSCF9kbVcoV,captured
L00321,2026-07-11,29566.83,MAHARAJ INC,NETBANKING,pay_bpcF468lK3WAUm,captured
L00355,2026-07-11,1925.93,"DANI, KUMER AND NAYAR",NETBANKING,pay_CcJGUbpzKZ7zqJ,captured
L00110,2026-07-12,1909.96,"DESAI, GARG AND NAYAR",NEFT,pay_DLA05ANUlwxNCW,captured
L00128,2026-07-12,23271.13,"SURESH, MUKHOPADHYAY AND RAU",NEFT,pay_ijBNAREPqgQC34,captured
L00139,2026-07-12,-616.49,"CHANA, OAK AND LALL",IMPS,pay_lrrtn3S20oEwF0-RFD,refunded
L00149,2026-07-12,35026.6,RAJA LTD,NEFT,pay_QFeROWedix2aNT,captured
L00259,2026-07-12,6154.98,SONI-MANE,WALLET,pay_4Gf5XsNyooYw6E,captured
L00263,2026-07-12,6749.12,"KOTHARI, HANDA AND SARNA",NEFT,pay_Ao2DfxaoZgvC6o,captured
L00338,2026-07-12,3280.02,KOSHY-BAHL,CARD,pay_Y7OYtT4pzYxbRO,captured
L00339,2026-07-12,594.4,KOSHY-BAHL,NEFT,pay_0O3BFiXHE15uJE,captured
L00340,2026-07-12,1328.2,KOSHY-BAHL,NETBANKING,pay_lzfbbCoYwMfrOV,captured
L00341,2026-07-12,4193.4,KOSHY-BAHL,WALLET,pay_MNvnFQaCWxIEve,captured
L00396,2026-07-12,2908.35,"BIR, VALA AND NARANG",CARD,pay_eu2C8IK7WQ0WOv,captured
L00401,2026-07-12,539.6,RANGANATHAN-UPADHYAY,NEFT,pay_Uwb4at928y5NrQ,captured
L00417,2026-07-12,1126.82,AGGARWAL-GHOSE,CARD,pay_N0Eml5kPYQl5yU,captured
L00430,2026-07-12,5097.62,GANESAN GROUP,CARD,pay_judQQHv7Gws7SN,captured
L00431,2026-07-12,5097.62,GANESAN GROUP,CARD,pay_judQQHv7Gws7SN,captured
L00133,2026-07-13,5531.82,"SOM, MANGAT AND BAWA",CARD,pay_jsiqmOPzl9L2iJ,captured
L00134,2026-07-13,5531.82,"SOM, MANGAT AND BAWA",CARD,pay_jsiqmOPzl9L2iJ,captured
L00148,2026-07-13,4292.52,"NARAYANAN, ZACHARIA AND VIRK",NETBANKING,pay_fuT5zaluhZTXtc,captured
L00152,2026-07-13,14999.56,MALL-BAHL,UPI,pay_Q5HiYZspjqZfDd,captured
L00172,2026-07-13,23837.5,"GOLA, PRAKASH AND ATWAL",IMPS,pay_bqt0g9KhPHdNiZ,captured
L00182,2026-07-13,4385.47,MOHAN-BAJAJ,NEFT,pay_QY2KsOf3RJmEJ7,captured
L00199,2026-07-13,1215.54,"BORDE, NAGAR AND JAIN",UPI,pay_vbMV11brdYONmk,captured
L00200,2026-07-13,5995.98,"BUCH, SHETTY AND SETHI",UPI,pay_MqOJIp8wHLK1zo,captured
L00221,2026-07-13,1223.46,KHARE-BHANDARI,CARD,pay_l7LxeDnmRH9L9m,captured
L00280,2026-07-13,2928.17,WASON LTD,UPI,pay_zADtuMuKvr6g4Z,captured
L00292,2026-07-13,6636.86,PAL PLC,NETBANKING,pay_xDILA0oM5spYfQ,captured
L00001,2026-07-14,5248.69,"CHHABRA, DATTA AND DHAWAN",UPI,pay_7siBp3eur2cRsb,captured
L00043,2026-07-14,13709.59,"VORA, KOSHY AND RANA",NEFT,pay_vYdzxZ2hvmfGTS,captured
L00120,2026-07-14,1878.41,PAL AND SONS,WALLET,pay_kaNmIBNsgiqXdK,captured
L00144,2026-07-14,1014.31,RASTOGI LTD,NETBANKING,pay_NnvRvgjYNiHVlS,captured
L00183,2026-07-14,3779.82,"MISHRA, CHEEMA AND MANGAT",NEFT,pay_7ZjJdTNVFaTAav,captured
L00206,2026-07-14,6929.52,MITTER INC,IMPS,pay_ock9UaI0t0cy1d,captured
L00237,2026-07-14,4126.64,SUNDARAM LLC,IMPS,pay_37EKetR0ReE9Oc,captured
L00241,2026-07-14,8058.02,KEER LLC,NETBANKING,pay_GDKc72W0hEKnkx,captured
L00315,2026-07-14,4004.4,"YADAV, PALLA AND KANNAN",WALLET,pay_xx8HQXg5Z4by8L,captured
L00324,2026-07-14,-1914.28,"IYENGAR, MISTRY AND GANESH",NEFT,pay_nBCN6vpnvjNnRj-RFD,refunded
L00337,2026-07-14,4611.66,GANGULY-YADAV,UPI,pay_eI64PkBMAeOUwe,captured
L00400,2026-07-14,28096.52,KEER LTD,IMPS,pay_67TnjTs2hTcQeA,captured
L00015,2026-07-15,7618.23,GOSWAMI-DASH,IMPS,pay_dhQFGHWdfjxwii,captured
L00109,2026-07-15,18900.88,DEWAN LTD,CARD,pay_sVOqYBCBxfhtGH,captured
L00119,2026-07-15,1635.65,GOPAL PLC,UPI,pay_ThIiVg8xwHFeoe,captured
L00150,2026-07-15,1355.46,WADHWA-CHAUDRY,CARD,pay_FleaUJcQxu3Cmy,captured
L00159,2026-07-15,4824.97,TANK-ROY,IMPS,pay_EZ7D3nKXr1aXCb,captured
L00270,2026-07-15,1387.48,THAKKAR-DHAWAN,CARD,pay_gEdzYbtX0bxkwW,captured
L00282,2026-07-15,2469.35,"SAMPATH, KRISHNAN AND TAILOR",IMPS,pay_AiE6WtsnOagYjb,captured
L00352,2026-07-15,4056.35,"CHAUDHARI, SETHI AND BORAH",CARD,pay_nys9rIq6F7ERRc,captured
L00364,2026-07-15,2635.5,SAMPATH LTD,WALLET,pay_pe42NwIrbF5KKk,captured
L00404,2026-07-15,9085.43,PAL GROUP,IMPS,pay_3AAaTkz6RrKstJ,captured
L00049,2026-07-16,2916.87,BAJAJ-DUGAL,IMPS,pay_X1ALQjDMCE6b9e,captured
L00051,2026-07-16,11316.87,DAVE-SAXENA,UPI,pay_ZMVqk0SBs2T5Bj,captured
L00070,2026-07-16,20658.68,"SETHI, SHAH AND BUCH",NETBANKING,pay_QXF5kpeiapTk5f,captured
L00112,2026-07-16,-6523.73,"APTE, GARA AND DHILLON",WALLET,pay_ZUXqakkNziTqSq-RFD,refunded
L00151,2026-07-16,2185.46,CHOUDHRY GROUP,NETBANKING,pay_3VZ9BWLOS2xqz0,captured
L00247,2026-07-16,5509.37,"CHAWLA, SAXENA AND CHEEMA",NEFT,pay_wAdLHfuk0cXPqS,captured
L00264,2026-07-16,1826.75,"APTE, WARRIOR AND SAMI",NEFT,pay_so0kuLJzWs8cHX,captured
L00269,2026-07-16,6859.6,KOSHY-KAKAR,WALLET,pay_6tqCmaShHB8KZC,captured
L00279,2026-07-16,28625.05,"MANGAL, VORA AND RAMA",CARD,pay_emngEDGaJSGIXA,captured
L00291,2026-07-16,26303.67,BHATNAGAR LLC,UPI,pay_gvckfryvJsRRlo,captured
L00342,2026-07-16,23601.48,SARKAR AND SONS,IMPS,pay_vvChQGX2l5jcOo,captured
L00378,2026-07-16,21828.02,"RAMA, CHAKRABORTY AND RASTOGI",WALLET,pay_g5U7Ll9mAcyjHp,captured
L00123,2026-07-17,4612.55,VALA-MENON,NEFT,pay_8lgJ1gtiHYqSiQ,captured
L00219,2026-07-17,1604.76,BHATIA-KAKAR,NEFT,pay_awxj5S0Z5lqDte,captured
L00267,2026-07-17,8382.77,"CHAR, HEGDE AND RAI",NETBANKING,pay_6Ujx6G10CSk3by,captured
L00303,2026-07-17,6109.01,PANDIT INC,CARD,pay_21UfxAPOlweD3G,captured
L00325,2026-07-17,1475.21,KUMER LLC,UPI,pay_BUaoMHWULMMWhA,captured
L00351,2026-07-17,3019.01,"PALL, EDWIN AND GOLA",WALLET,pay_jFbAKYgg9PgZwx,captured
L00385,2026-07-17,3490.84,"SWAMY, CHOPRA AND MISRA",CARD,pay_8CcCD20eetN8JD,captured
L00406,2026-07-17,26079.74,DANI GROUP,WALLET,pay_sMXgDlQF3WIn7W,captured
L00442,2026-07-17,27698.92,BORRA INC,CARD,pay_JLRsoVKWU9arCg,captured
L00025,2026-07-18,5367.05,SANGHVI-NARASIMHAN,NETBANKING,pay_PNe1g5iJi36JN3,captured
L00095,2026-07-18,6511.22,HALDER LTD,CARD,pay_mEsoOsGeg39nWP,captured
L00246,2026-07-18,60329.2,"SEKHON, SANKAR AND BALI",NETBANKING,pay_3j94i7L27GANw4,captured
L00251,2026-07-18,28652.96,"MUKHOPADHYAY, KADAKIA AND WALLA",NETBANKING,pay_xyezFbF7VvGDMn,captured
L00268,2026-07-18,12460.63,TALWAR-KANNAN,NEFT,pay_GTQI99OlzCoPY1,captured
L00326,2026-07-18,1475.21,KUMER LLC,UPI,pay_BUaoMHWULMMWhA,captured
L00045,2026-07-19,38067.71,"SOOD, CHOKSHI AND LAD",UPI,pay_8Lr4FrEgUmcvPG,captured
L00079,2026-07-19,3539.89,DHAWAN PLC,IMPS,pay_5UiPvReI2R1rwZ,captured
L00118,2026-07-19,20517.16,TRIPATHI LTD,WALLET,pay_Dh37eXtGbQbZYP,captured
L00436,2026-07-19,4332.29,WARRIOR-TAILOR,IMPS,pay_oZbL3gwRW6mzSW,captured
L00106,2026-07-20,22928.76,AGATE LLC,NEFT,pay_eKC9PldVcS5tVm,captured
L00117,2026-07-20,5372.43,HANS INC,IMPS,pay_74tN4hJAHdSuaE,captured
L00222,2026-07-20,992.24,DEWAN GROUP,UPI,pay_Nc7TCEmdZ0h9zf,captured
L00223,2026-07-20,992.24,DEWAN GROUP,UPI,pay_Nc7TCEmdZ0h9zf,captured
L00298,2026-07-20,4941.18,NANDA-BARMAN,WALLET,pay_GHDygW4CVxOWFP,captured
L00389,2026-07-20,6957.73,SAHNI-BAIL,UPI,pay_lTBQvE30XYuIlp,captured
L00444,2026-07-20,6642.46,"BARAL, SANKAR AND SETTY",NEFT,pay_TnkFg3IMsCQU3i,captured
L00027,2026-07-21,8127.12,"GARA, NARULA AND WAGLE",IMPS,pay_hYCi3sAeOrb9nQ,captured
L00073,2026-07-21,2672.68,MITAL-VENKATARAMAN,UPI,pay_Yy3jSNADnl4JqC,captured
L00127,2026-07-21,14172.65,"SIBAL, KALA AND YADAV",UPI,pay_cBCecb8UqeZIhE,captured
L00184,2026-07-21,20714.99,"BHARDWAJ, CHOUDHRY AND BUCH",NETBANKING,pay_4W7GbuzG7G3S5i,captured
L00189,2026-07-21,8222.07,TELLA AND SONS,NETBANKING,pay_sW4gKK9NIQ0VsR,captured
L00236,2026-07-21,5266.18,CHAWLA PLC,WALLET,pay_QuNRMDSDOCJDzh,captured
L00256,2026-07-21,3650.92,"SINHA, SETHI AND KUMAR",IMPS,pay_ZUvUAMV1hi5saA,captured
L00271,2026-07-21,1558.07,"DUBEY, JHA AND NARAYAN",NETBANKING,pay_P8SpNBjIWovoGI,captured
L00319,2026-07-21,69909.81,DEY-PRABHAKAR,WALLET,pay_fBZQ10j1Ht74jQ,captured
L00356,2026-07-21,5940.87,"BALASUBRAMANIAN, BORA AND HANDA",NEFT,pay_meK2a3u0J9CgSG,captured
L00447,2026-07-21,251.57,"MANI, PALLA AND COMAR",NETBANKING,pay_LHGvw1aka4yydy,captured
L00014,2026-07-22,2333.03,KALLA LLC,NEFT,pay_VHRi4YwfAw6fpa,captured
L00054,2026-07-22,1075.22,MISRA AND SONS,WALLET,pay_7lbdUcWU5uJSsS,captured
L00074,2026-07-22,2672.68,MITAL-VENKATARAMAN,UPI,pay_Yy3jSNADnl4JqC,captured
L00155,2026-07-22,23988.88,KHURANA INC,CARD,pay_qTLnStb1XR43aO,captured
L00162,2026-07-22,5181.23,"TOOR, DAVE AND SUR",NETBANKING,pay_fRXaSBu4KdfWd2,captured
L00166,2026-07-22,2106.04,"RAU, RATTAN AND SHAN",UPI,pay_3GhtLfCw1GBBvP,captured
L00275,2026-07-22,1869.73,"SHETH, BHALLA AND BALAKRISHNAN",UPI,pay_OY7bga8FQcBb6m,captured
L00316,2026-07-22,1220.87,"BABU, MORAR AND KIBE",NEFT,pay_tmhT2A2Yiv1CJR,captured
L00318,2026-07-22,2845.55,"RAJAGOPALAN, KRISHNAN AND AGGARWAL",CARD,pay_Ob084FgpgE3c1E,captured
L00381,2026-07-22,1478.88,MUNSHI-KHANNA,UPI,pay_AtHsP8XHmXEksv,captured
L00402,2026-07-22,2091.29,DASGUPTA-KHANNA,WALLET,pay_BsinUdrdJeqvut,captured
L00420,2026-07-22,9589.19,RANA-DAR,IMPS,pay_nupfOgoCFkgQ14,captured
L00421,2026-07-22,9589.19,RANA-DAR,IMPS,pay_nupfOgoCFkgQ14,captured
L00432,2026-07-22,14297.95,NAYAR LTD,WALLET,pay_tnVEytblmIqJIm,captured
L00010,2026-07-23,4115.86,WASON-MANN,WALLET,pay_TqBzgTGSk6DHpF,captured
L00057,2026-07-23,18545.75,BHATTI GROUP,IMPS,pay_mJEMs9Foxsss6z,captured
L00313,2026-07-23,14592.35,SANI AND SONS,CARD,pay_SAVdwmhHKYjW8t,captured
L00332,2026-07-23,1263.36,"PATHAK, KAR AND SURESH",NETBANKING,pay_shnQ8RZWmNnaWg,captured
L00349,2026-07-23,28716.86,MITRA-RATTA,NEFT,pay_oXBMTRWZYl2Lij,captured
L00427,2026-07-23,3432.9,SRIVASTAVA AND SONS,UPI,pay_FGsbd9K5RkK7vn,captured
L00009,2026-07-24,27893.28,"BATRA, GANGULY AND HORA",NEFT,pay_gTsZzRiLXAxRDd,captured
L00129,2026-07-24,44915.51,WALIA INC,IMPS,pay_e6LNevAbQfrY3u,captured
L00131,2026-07-24,42333.68,"SAMPATH, CHAR AND IYER",CARD,pay_i2qrvqFNpOQD8I,captured
L00164,2026-07-24,55064.93,CHADHA INC,IMPS,pay_9MXpNH8V5kULmg,captured
L00197,2026-07-24,4204.75,"JAIN, ANNE AND MITTAL",CARD,pay_qCiMtlRAfpkR7N,captured
L00277,2026-07-24,4688.09,"RAJAGOPALAN, SUR AND MURTHY",IMPS,pay_GA5c2pmQYSwBGY,captured
L00278,2026-07-24,4688.09,"RAJAGOPALAN, SUR AND MURTHY",IMPS,pay_GA5c2pmQYSwBGY,captured
L00288,2026-07-24,5758.48,SINGH LLC,NETBANKING,pay_4Mv2e2HHZdGH7T,captured
L00304,2026-07-24,14425.45,DANI GROUP,NETBANKING,pay_N5nwfBBRzc7yuf,captured
L00305,2026-07-24,1615.33,DANI GROUP,NETBANKING,pay_xjaqhHLzserVW2,captured
L00358,2026-07-24,2385.95,SANT AND SONS,NEFT,pay_T2EUBky1whBOKj,captured
L00370,2026-07-24,485.62,"PATLA, SWAMY AND NADIG",IMPS,pay_Fo5SOU9eqLE6H7,captured
L00435,2026-07-24,8174.74,SANKARAN-SOOD,CARD,pay_S53scrGbGGQZc3,captured
L00040,2026-07-25,3229.19,SIBAL GROUP,NETBANKING,pay_NBWgLckryZb78l,captured
L00041,2026-07-25,4785.27,TATA AND SONS,NEFT,pay_dhNNZqZVSuEY9k,captured
L00042,2026-07-25,22871.3,CHOUDHURY AND SONS,NETBANKING,pay_ZK63V8283afGvN,captured
L00062,2026-07-25,1704.81,KAUR-KULKARNI,WALLET,pay_mNcnpSfg8681mp,captured
L00068,2026-07-25,5638.71,"LUTHRA, KONDA AND RAMAN",CARD,pay_k4ImbCRWIIiO7K,captured
L00186,2026-07-25,3352.07,"WALI, SEKHON AND THAKUR",CARD,pay_6wISASi7Gelpn0,captured
L00248,2026-07-25,3654.56,CHAD PLC,CARD,pay_DsrPCDvsgSUYe1,captured
